docid,verb1,verb2,eiid1,eiid2,relation,context
WSJ_20130322_159,happened,confirmed,5,12,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,happened,agreed,5,14,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,wrapped,confirmed,6,12,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,wrapped,agreed,6,14,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,seemed,confirmed,10,12,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,seemed,agreed,10,14,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,yield,confirmed,11,12,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,yield,agreed,11,14,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,confirmed,agreed,12,14,AFTER,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,confirmed,accepted,12,18,VAGUE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,confirmed,said,12,19,BEFORE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
WSJ_20130322_159,agreed,accepted,14,18,VAGUE,"Israeli Prime Minister Benjamin Netanyahu apologized on Friday to Turkish Prime Minister Recep Tayyip Erdogan for a raid on a Turkish flotilla ship, a move that will help restore strained ties between the countries.

The call, which happened as President Barack Obama wrapped up his first presidential visit to Israel, was an unexpected outcome from a Mideast trip that seemed to yield few concrete steps.

Mr. Netanyahu's office confirmed that the Israeli leader, in a conversation with Mr. Erdogan, ""agreed to restore normalization between Israel and Turkey, including the dispatch of ambassadors and the cancellation of legal steps against [Israeli Defense Forces] soldiers."" Mr. Erdogan accepted the Israeli apology, the prime minister's office said.

Mr. Erdogan has long sought an apology for the raid in May 2010 on the Mavi Marmara, which was part of a flotilla that sought to break Israel's blockade of Gaza. An Israeli raid on the ship left nine passengers dead, all of them Turkish or of Turkish descent.

""In light of the Israeli investigation into the incident, which pointed out several operational errors, Prime Minister Netanyahu apologized to the Turkish people for any errors that could have led to loss of life and agreed to complete the agreement on compensation,"" the statement said.

Mr. Netanyahu told Mr. Erdogan that what happened on board the Mavi Marmara was ""unintentional and Israel expresses regret over injuries and loss of life,"" according to the statement.

Mr. Obama said later at a news conference in Amman that he had spoken to both leaders over the past two years about how it was in the interests of both countries to restore normal relations.

He said he discussed the issue with Mr. Netanyahu during his visit to Israel this week, and that they agreed the timing was good for a discussion with the Turkish leader.

The incident was a subject of talks between Mr. Netanyahu and President Barack Obama during the president's trip to Israel this week, officials said."
